word,frequency
kindly,11
chimney,11
chill,11
breathed,11
bessies,11
traveller,11
selfish,11
wrought,11
chosen,11
vault,11
buried,11
troubled,11
wing,11
ghost,11
disgust,11
loose,11
assured,11
relief,11
string,11
acted,11
savage,11
breeze,11
mercy,11
showing,11
knocked,11
produced,11
grow,11
hated,11
purse,11
ventured,11
watching,11
everybody,11
discourse,11
desired,11
control,11
spend,11
housekeeper,11
proceeding,11
hurry,11
trembling,11
opposite,11
excellent,11
carefully,11
outside,11
regular,11
clever,11
thoroughly,11
agony,11
remorse,11
partly,11
grass,11
bedroom,11
shortly,11
lamp,11
ceased,11
itself,11
shoe,11
suited,11
commenced,11
music,11
trying,11
needle,11
error,11
stop,11
lately,11
absorbed,11
curious,11
recalled,11
solace,11
lowton,11
shocked,11
graceful,11
posse,11
equal,11
crushed,11
indian,11
momentarily,11
mount,11
willing,11
gipsy,11
curiosity,11
mutual,11
supposed,11
embrace,11
calmly,11
wake,11
regret,11
chaise,11
track,11
smoke,11
portrait,11
resolution,11
varens,11
fasten,11
custom,11
station,11
excuse,11
pavement,11
parting,11
torn,11
estate,11
haughty,11
consent,11
devil,11
resolute,11
gift,11
benefit,11
imagine,11
desk,11
void,11
unusual,10
simple,10
vice,10
mistaken,10
delicate,10
serious,10
genius,10
observation,10
earnest,10
double,10
drapery,10
melancholy,10
frost,10
eager,10
forth,10
intimated,10
root,10
dependant,10
mirror,10
driver,10
declared,10
beside,10
impulse,10
midst,10
slept,10
unless,10
crimson,10
subdued,10
involuntarily,10
gazing,10
golden,10
plant,10
permit,10
singular,10
treated,10
quit,10
endeavoured,10
ceiling,10
conjecture,10
anguish,10
lifting,10
charged,10
sooner,10
sewing,10
admiration,10
cherished,10
mild,10
steadily,10
nonsense,10
announced,10
anywhere,10
relative,10
sighed,10
responded,10
rate,10
worthy,10
utter,10
usually,10
proved,10
dull,10
cheese,10
justice,10
fifty,10
scattered,10
roll,10
awful,10
introduced,10
avoid,10
admit,10
superintendent,10
mention,10
becoming,10
scorn,10
instinct,10
wretched,10
compared,10
bend,10
street,10
building,10
shining,10
comfortable,10
draught,10
dawn,10
upper,10
worked,10
served,10
stream,10
institution,10
county,10
ceremony,10
measure,10
submit,10
taught,10
swelled,10
entirely,10
doom,10
conceal,10
lamb,10
separate,10
slight,10
lineament,10
promised,10
provided,10
sincere,10
fortunately,10
meaning,10
sprang,10
surgeon,10
dreaded,10
destiny,10
